Rank,Name,Rating,Year,Duration,PG Rating,Description,Director,Writers,Stars
1, The Shawshank Redemption,9.3,1994,2h 22m,R,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,Stephen King,"Tim Robbins, Morgan Freeman, Bob Gunton"
2, The Godfather,9.2,1972,2h 55m,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,Mario Puzo,"Marlon Brando, Al Pacino, James Caan"
3, The Dark Knight,9.0,2008,2h 32m,PG-13,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,Jonathan Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
4, The Godfather Part II,9.0,1974,3h 22m,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall"
5, 12 Angry Men,9.0,1957,1h 36m,Approved,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,Reginald Rose,"Henry Fonda, Lee J. Cobb, Martin Balsam"
6, The Lord of the Rings: The Return of the King,9.0,2003,3h 21m,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,J.R.R. Tolkien,"Elijah Wood, Viggo Mortensen, Ian McKellen"
7, Schindler's List,9.0,1993,3h 15m,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,Thomas Keneally,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
8, Pulp Fiction,8.9,1994,2h 34m,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson"
9, The Lord of the Rings: The Fellowship of the Ring,8.9,2001,2h 58m,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,J.R.R. Tolkien,"Elijah Wood, Ian McKellen, Orlando Bloom"
10," The Good, the Bad and the Ugly",8.8,1966,2h 58m,R,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,Luciano Vincenzoni,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
